,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
3977,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,70,3957,2.3901,51,18,51,Semillero,En Pie,18S,453408,9155261,PC 07,SEMILLERO
12294,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,17,8101,5.2801,78,17,51,Aprovechable,En Pie,18S,456504,9161039,PC 09,
10703,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,79,16209,20.012,140,20,51,Aprovechable,En Pie,18S,448023,9152749,PC 08,
11558,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,19,7359,3.1243,60,17,51,Semillero,En Pie,18S,456352,9158469,PC 09,SEMILLERO
5329,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,69,5315,4.0981,65,19,51,Semillero,En Pie,18S,453478,9155038,PC 07,SEMILLERO
2540,Hura crepitans , Catahua,Hura crepitans , Catahua, ,34,2514,23.606,170,16,60,Aprovechable,En Pie,18S,455928,9152434,PC 07,
8633,Hura crepitans , Catahua,Hura crepitans , Catahua, ,34,14117,8.648,110,14,60,Aprovechable,En Pie,18S,450296,9153541,PC 08,
4377,Hura crepitans , Catahua,Hura crepitans , Catahua, ,74,4358,12.0787,130,14,60,Aprovechable,En Pie,18S,453070,9154001,PC 07,
3821,Hura crepitans , Catahua,Hura crepitans , Catahua, ,85,3801,14.0084,140,14,60,Aprovechable,En Pie,18S,452357,9156075,PC 07,
16701,Hura crepitans , Catahua,Hura crepitans , Catahua, ,67,12528,14.1538,152,12,60,Aprovechable,En Pie,18S,453007,9158168,PC 09,
17894,Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,52,13719,7.1471,100,14,41,Aprovechable,En Pie,18S,454042,9160722,PC 09,
12652,Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,14,8460,2.7568,60,15,41,Aprovechable,En Pie,18S,456717,9161146,PC 09,
8207,Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,29,13684,2.7797,55,18,41,Semillero,En Pie,18S,450552,9152532,PC 08,SEMILLERO
8245,Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,26,13723,3.9499,58,23,41,Semillero,En Pie,18S,450702,9152794,PC 08,SEMILLERO
12278,Calycophyllum spruceanum , Capirona,Calycophyllum spruceanum , Capirona, ,17,8085,4.0024,70,16,41,Aprovechable,En Pie,18S,456510,9160407,PC 09,
9910,Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,83,15408,5.5327,85,15,41,Aprovechable,En Pie,18S,447842,9152390,PC 08,
6667,Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,37,6655,4.0024,70,16,41,Semillero,En Pie,18S,455704,9154056,PC 07,SEMILLERO
7028,Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,14,12456,2.7568,60,15,41,Aprovechable,En Pie,18S,457282,9154261,PC 07,
5320,Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,69,5306,7.1471,100,14,41,Aprovechable,En Pie,18S,453452,9155399,PC 07,
3248,Pouteria torta , Quina quina,Pouteria torta , Quina quina, ,39,3224,2.0216,60,11,41,Aprovechable,En Pie,18S,455585,9155592,PC 07,
10278,Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,86,15780,3.9207,80,12,41,Semillero,En Pie,18S,447700,9152002,PC 08,
15257,Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,38,11075,3.0018,70,12,41,Semillero,En Pie,18S,455031,9156916,PC 09,SEMILLERO
1218,Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,6,1220,5.3757,90,13,41,Aprovechable,En Pie,18S,457879,9153162,PC 07,
7102,Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,2,12574,6.5345,80,20,41,Aprovechable,En Pie,18S,451921,9151742,PC 08,CAIDO NATURAL
5632,Manilkara bidentata , Quinilla,Manilkara bidentata , Quinilla, ,54,5618,7.8325,95,17,41,Aprovechable,En Pie,18S,454475,9154674,PC 07,
9241,Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,114,14732,6.2027,90,15,56,Aprovechable,En Pie,18S,446314,9152235,PC 08,
6231,Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,46,6217,7.8567,90,19,56,Aprovechable,En Pie,18S,455072,9153002,PC 07,
8536,Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,36,14020,5.441,73,20,56,Aprovechable,En Pie,18S,450200,9153196,PC 08,
5158,Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,52,5143,5.1456,77,17,56,Aprovechable,En Pie,18S,454658,9155711,PC 07,
2815,Copaifera reticulata , Copaiba,Copaifera reticulata , Copaiba, ,77,2790,8.754,95,19,56,Aprovechable,En Pie,18S,452893,9152922,PC 07,
